,city,hotel_name,people_number,days_number,price,staff,amenities,cleanliness,comfort,value_for_money,location,free_wifi,average_opinion
1568,Gdańsk,Hostel Universus,2,1,126.0,9.3,7.9,8.2,8.0,8.6,9.7,8.6,8.1
1569,Gdańsk,Royal Gdansk,2,1,221.0,9.0,8.2,8.6,8.4,8.3,7.8,8.5,8.2
1570,Gdańsk,YOURAPART Rajska City Centre,2,1,205.0,8.7,8.5,8.4,8.5,8.4,9.6,8.5,8.4
1571,Gdańsk,ARCHE Dwór Uphagena Gdańsk,2,1,172.0,9.2,9.1,9.4,9.4,9.1,8.8,9.1,9.1
1572,Gdańsk,Smart Hotel,2,1,220.0,8.9,8.1,8.7,8.4,8.3,9.0,8.3,8.3
1573,Gdańsk,InvestRooms,2,1,166.0,9.8,9.6,9.9,9.8,9.7,8.8,9.5,9.6
1574,Gdańsk,"Radisson Hotel & Suites, Gdansk, Wyspa Spichrzów",2,1,376.0,8.8,8.6,9.0,9.0,8.2,9.7,8.8,8.5
1575,Gdańsk,Focus Hotel Gdańsk,2,1,193.0,8.9,8.1,8.5,8.2,8.1,8.1,8.1,8.1
1576,Gdańsk,Hotel Zatoka,2,1,232.0,9.0,8.5,8.8,8.6,8.4,8.1,8.8,8.5
1577,Gdańsk,Hotel Arkon Park Business & Sport,2,1,254.0,9.2,8.9,9.2,9.1,8.7,8.5,8.9,8.8
1578,Gdańsk,Noclegi i Parking u Andrzeja,2,1,281.0,9.1,8.7,9.1,8.8,8.8,9.6,8.6,8.7
1579,Gdańsk,MONTOWNIA Lofts & Experience,2,1,495.0,9.5,9.6,9.8,9.8,9.4,9.3,9.4,9.7
1580,Gdańsk,Fama Residence Gdańsk Old Town,2,1,240.0,9.6,9.1,9.4,9.2,9.2,9.8,9.0,9.2
1581,Gdańsk,Motława Riverside Apartments,2,1,275.0,9.5,9.2,9.5,9.3,9.3,9.5,10.0,9.4
1582,Gdańsk,Amber Hotel,2,1,202.0,9.3,8.8,9.1,8.9,8.9,8.4,8.7,8.8
1583,Gdańsk,Hilton Gdansk,2,1,481.0,9.1,8.8,9.2,9.2,8.3,9.7,8.5,8.8
1584,Gdańsk,Gdańska Szkoła Szermierki,2,1,175.0,9.7,8.7,9.2,8.8,9.2,8.6,8.5,9.0
1585,Gdańsk,HOTEL NUMBER ONE BY GRANO Gdańsk,2,1,266.0,8.9,8.6,9.1,9.0,8.5,9.1,7.8,8.6
1586,Gdańsk,Focus Hotel Premium Gdańsk,2,1,255.0,9.2,8.7,8.8,8.8,8.4,9.0,9.0,8.7
1587,Gdańsk,Flatbook - City Center Apartments Riverview,2,2,593.0,8.8,9.3,9.5,9.5,9.3,9.8,,9.3
1588,Gdańsk,Perfect Apartment Oldtown Gdansk,2,2,3017.0,9.2,8.7,8.7,8.9,8.9,9.4,10.0,8.9
1589,Gdańsk,Ośrodek Wczasowy Bursztyn,2,2,695.0,8.6,7.6,7.7,7.6,7.5,9.3,,7.9
1590,Gdańsk,La Petite APARTMENTS&ROOMS,2,2,409.0,8.8,8.1,8.6,8.4,8.4,8.1,8.6,8.3
1591,Gdańsk,Amber House,2,2,319.0,8.5,7.7,7.6,7.5,7.9,9.6,8.0,7.8
1592,Gdańsk,Dom Zdrojowy,2,2,471.0,9.4,8.7,9.2,9.0,8.5,9.6,9.2,8.9
1593,Gdańsk,Hotel Arkon Park Business & Sport,2,2,507.0,9.2,8.9,9.2,9.1,8.7,8.5,8.9,8.8
1594,Gdańsk,MONTOWNIA Lofts & Experience,2,2,990.0,9.5,9.6,9.8,9.8,9.4,9.3,9.4,9.7
1595,Gdańsk,Akme APARTMENTS&ROOMS,2,2,419.0,9.4,8.7,9.2,8.9,8.8,8.2,8.7,8.9
1596,Gdańsk,Royal Gdansk,2,2,517.0,9.0,8.2,8.6,8.4,8.3,7.8,8.5,8.2
1597,Gdańsk,Apartamenty Szlachecki i Pod Artusem,2,2,467.0,9.7,9.5,9.7,9.5,9.5,9.8,9.1,9.5
1598,Gdańsk,Zefiro Seredyńskiego,2,2,520.0,8.8,8.3,9.1,8.7,8.6,9.1,8.7,8.5
